Overall_Rating,Sentiment_Label,Review_Title,Review,combined_text,cleaned_text,tokens_str,Type Of Traveller,Seat Type,Route,Recommended,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money
1,Negative,very kind and friendly,"This flight using Air Asia was very comfortable, the crew and flight attendants were very kind and friendly to me. The toilets were also clean.","very kind and friendly This flight using Air Asia was very comfortable, the crew and flight attendants were very kind and friendly to me. The toilets were also clean.",very kind and friendly this flight using air asia was very comfortable the crew and flight attendants were very kind and friendly to me the toilets were also clean,kind friendly using comfortable crew attendants kind friendly toilets clean,Solo Leisure,Economy Class,Makassar to Haluoleo,yes,4.0,5.0,,5.0,5
8,Positive,flight offered good punctuality,"AirAsia Indonesia flight QZ121 from Kuala Lumpur (KUL) to Medan (KNO) on 26 May 2026 was a smooth and efficient journey despite being operated on the busy day before Eid Adha 1447H. I boarded the aircraft at Gate Q11 and boarding was completed by 11:40 AM. The flight departed on time with pushback at 11:49 AM and takeoff at 12:01 PM. Some light turbulence was experienced during climb and descent, but the flight remained comfortable overall. The aircraft landed safely at Kualanamu International Airport at approximately 11:38 AM local time, completing the journey in an impressive 37 minutes. Overall, the flight offered good punctuality and a satisfactory travel experience.","flight offered good punctuality AirAsia Indonesia flight QZ121 from Kuala Lumpur (KUL) to Medan (KNO) on 26 May 2026 was a smooth and efficient journey despite being operated on the busy day before Eid Adha 1447H. I boarded the aircraft at Gate Q11 and boarding was completed by 11:40 AM. The flight departed on time with pushback at 11:49 AM and takeoff at 12:01 PM. Some light turbulence was experienced during climb and descent, but the flight remained comfortable overall. The aircraft landed safely at Kualanamu International Airport at approximately 11:38 AM local time, completing the journey in an impressive 37 minutes. Overall, the flight offered good punctuality and a satisfactory travel experience.",flight offered good punctuality airasia indonesia flight qz from kuala lumpur kul to medan kno on may was a smooth and efficient journey despite being operated on the busy day before eid adha h i boarded the aircraft at gate q and boarding was completed by am the flight departed on time with pushback at am and takeoff at pm some light turbulence was experienced during climb and descent but the flight remained comfortable overall the aircraft landed safely at kualanamu international airport at approximately am local time completing the journey in an impressive minutes overall the flight offered good punctuality and a satisfactory travel experience,offered good punctuality indonesia kuala lumpur kul medan kno may smooth efficient journey despite operated busy day eid adha boarded aircraft gate boarding completed departed time pushback takeoff light turbulence experienced climb descent remained comfortable overall aircraft landed safely kualanamu international airport approximately local time completing journey impressive minutes overall offered good punctuality satisfactory travel experience,Solo Leisure,Economy Class,Kuala Lumpur  to Medan,yes,4.0,5.0,,4.0,4
9,Positive,a pleasant afternoon journey,"AirAsia flight AK396 from Medan (KNO) to Kuala Lumpur (KUL) on 28 May 2026 was a pleasant afternoon journey. The aircraft arrived early from its previous sector, allowing boarding to be completed by 2:51 PM. The doors closed at 2:55 PM, followed by pushback at 2:57 PM and takeoff at 3:08 PM. Weather conditions were favourable, with clear skies during ascent and a smooth flight throughout the journey. The aircraft landed safely at 4:50 PM, approximately 10 minutes ahead of schedule, and reached Gate K12 at KLIA Terminal 2 by 4:58 PM. Overall, the flight was comfortable, punctual, and provided a satisfactory travel experience.","a pleasant afternoon journey AirAsia flight AK396 from Medan (KNO) to Kuala Lumpur (KUL) on 28 May 2026 was a pleasant afternoon journey. The aircraft arrived early from its previous sector, allowing boarding to be completed by 2:51 PM. The doors closed at 2:55 PM, followed by pushback at 2:57 PM and takeoff at 3:08 PM. Weather conditions were favourable, with clear skies during ascent and a smooth flight throughout the journey. The aircraft landed safely at 4:50 PM, approximately 10 minutes ahead of schedule, and reached Gate K12 at KLIA Terminal 2 by 4:58 PM. Overall, the flight was comfortable, punctual, and provided a satisfactory travel experience.",a pleasant afternoon journey airasia flight ak from medan kno to kuala lumpur kul on may was a pleasant afternoon journey the aircraft arrived early from its previous sector allowing boarding to be completed by pm the doors closed at pm followed by pushback at pm and takeoff at pm weather conditions were favourable with clear skies during ascent and a smooth flight throughout the journey the aircraft landed safely at pm approximately minutes ahead of schedule and reached gate k at klia terminal by pm overall the flight was comfortable punctual and provided a satisfactory travel experience,pleasant afternoon journey medan kno kuala lumpur kul may pleasant afternoon journey aircraft arrived early previous sector allowing boarding completed doors closed followed pushback takeoff weather conditions favourable clear skies ascent smooth throughout journey aircraft landed safely approximately minutes ahead schedule reached gate klia terminal overall comfortable punctual provided satisfactory travel experience,Solo Leisure,Economy Class,Medan to Kuala Lumpur,yes,4.0,5.0,,4.0,4
7,Positive,it was a pleasant flight,"Onboard it was a pleasant flight. The on board meal was nice and staff friendly, however Air Asia cancelled the original flight twice in a 3 month period and rescheduled it for an hour later. The last time was 24 hours before our flight, no great inconvenience.","it was a pleasant flight Onboard it was a pleasant flight. The on board meal was nice and staff friendly, however Air Asia cancelled the original flight twice in a 3 month period and rescheduled it for an hour later. The last time was 24 hours before our flight, no great inconvenience.",it was a pleasant flight onboard it was a pleasant flight the on board meal was nice and staff friendly however air asia cancelled the original flight twice in a month period and rescheduled it for an hour later the last time was hours before our flight no great inconvenience,pleasant onboard pleasant board meal nice staff friendly however cancelled original twice month period rescheduled hour later last time hours great inconvenience,Couple Leisure,Economy Class,Penang to Kuala Lumpur,yes,4.0,4.0,5.0,5.0,5
8,Positive,satisfied with this flight,"Semarang to Kuala Lumpur on 3 May 2026, which was a pleasant and efficient journey.  Boarding and ground operations were handled efficiently.  The flight remained smooth with minimal turbulence, contributing to a comfortable travel experience despite the high occupancy. Cabin crew were doing their usual top-notch work.  Overall, the flight demonstrated good operational punctuality, smooth handling, and an efficient arrival process, and I am satisfied with this flight.","satisfied with this flight Semarang to Kuala Lumpur on 3 May 2026, which was a pleasant and efficient journey.  Boarding and ground operations were handled efficiently.  The flight remained smooth with minimal turbulence, contributing to a comfortable travel experience despite the high occupancy. Cabin crew were doing their usual top-notch work.  Overall, the flight demonstrated good operational punctuality, smooth handling, and an efficient arrival process, and I am satisfied with this flight.",satisfied with this flight semarang to kuala lumpur on may which was a pleasant and efficient journey boarding and ground operations were handled efficiently the flight remained smooth with minimal turbulence contributing to a comfortable travel experience despite the high occupancy cabin crew were doing their usual top notch work overall the flight demonstrated good operational punctuality smooth handling and an efficient arrival process and i am satisfied with this flight,satisfied semarang kuala lumpur may pleasant efficient journey boarding ground operations handled efficiently remained smooth minimal turbulence contributing comfortable travel experience despite high occupancy cabin crew usual top notch work overall demonstrated good operational punctuality smooth handling efficient arrival process satisfied,Solo Leisure,Economy Class,Semarang to Kuala Lumpur,yes,4.0,5.0,4.0,4.0,4
7,Positive,a lot easier than expected,The flight was an hour and a half late taking off. This was due to a family holding the gate up waiting for a family member who had previously been at the gate. I felt the ground crew should have been stricter with the family. The flight in itself other than landing an hour later than scheduled was a lot easier than expected with it being a 4 hour flight from Da Nang to Bali.,a lot easier than expected The flight was an hour and a half late taking off. This was due to a family holding the gate up waiting for a family member who had previously been at the gate. I felt the ground crew should have been stricter with the family. The flight in itself other than landing an hour later than scheduled was a lot easier than expected with it being a 4 hour flight from Da Nang to Bali.,a lot easier than expected the flight was an hour and a half late taking off this was due to a family holding the gate up waiting for a family member who had previously been at the gate i felt the ground crew should have been stricter with the family the flight in itself other than landing an hour later than scheduled was a lot easier than expected with it being a hour flight from da nang to bali,lot easier expected hour half late taking due family holding gate waiting family member previously gate felt ground crew stricter family landing hour later scheduled lot easier expected hour nang bali,Couple Leisure,Economy Class,DaNang to Denpasar,yes,4.0,4.0,,2.0,5
1,Negative,terrific customer service,"We flew from Perth to KL on the 21st March. It was a difficult day with a flight delay , bag tags being attached to the wrong luggage (not Air Asia's fault) and having to organise changed flights. Air sia were very good in helping us with these issues from providing lounge access and a food voucher in Perth to make up for the delay and arranging a later connecting flight free of charge to Kuching for my wife when she missed the original flight due to the bag tag mix up. I wanted to praise Air Asia for their terrific customer service during a difficult day. We have no hesitation in flying with them again.","terrific customer service We flew from Perth to KL on the 21st March. It was a difficult day with a flight delay , bag tags being attached to the wrong luggage (not Air Asia's fault) and having to organise changed flights. Air sia were very good in helping us with these issues from providing lounge access and a food voucher in Perth to make up for the delay and arranging a later connecting flight free of charge to Kuching for my wife when she missed the original flight due to the bag tag mix up. I wanted to praise Air Asia for their terrific customer service during a difficult day. We have no hesitation in flying with them again.",terrific customer service we flew from perth to kl on the st march it was a difficult day with a flight delay bag tags being attached to the wrong luggage not air asia s fault and having to organise changed flights air sia were very good in helping us with these issues from providing lounge access and a food voucher in perth to make up for the delay and arranging a later connecting flight free of charge to kuching for my wife when she missed the original flight due to the bag tag mix up i wanted to praise air asia for their terrific customer service during a difficult day we have no hesitation in flying with them again,terrific customer service perth march difficult day delay bag tags attached wrong luggage fault organise changed flights sia good helping issues providing lounge access food voucher perth make delay arranging later connecting free charge kuching wife missed original due bag tag mix wanted praise terrific customer service difficult day hesitation flying,Couple Leisure,Economy Class,Perth to Kuala lumpur,yes,4.0,5.0,4.0,5.0,5
1,Negative,said I had to pay for that seat',"The low fare they give is not worth the hassle of waiting in long check-in lines, departure delays and poor customer service.  Ihad arrived at the airport two hours early anticipating that there would be a decent-sized line but that it would only take 30 minutes maximum to check-in my baggage and get my boarding pass.  The line to check-in extended all the way from the counter to the entrance doorss. Due to the slow process of check-in, I had only an hour left before my flight was set to depart and I had to summon a member of the AirAsia staff to expedite my check-in. When I got to the counter after bypassing the line, I was informed by the agent that my flight had been delayed and that I would have to pay a fee because my luggage was more than the 15kg allowance I had paid for.  I was informed that they were charging me 2,799.98 THB (90.58 USD) in addition to the 385.20 THB (12.24 USD) I paid for my 15kg baggage allowance.  In total, my baggage fees amounted to 3,185.18 THB (101.29 USD). Once I paid the fee for my baggage, I proceeded through security to find out our flight was delayed.  After we boarded the plane, I saw that there were a couple emergency exit row seats available and asked one of the flight attendants if I could have that seat. They denied me the upgrade and said I had to pay for that seat.","said I had to pay for that seat' The low fare they give is not worth the hassle of waiting in long check-in lines, departure delays and poor customer service.  Ihad arrived at the airport two hours early anticipating that there would be a decent-sized line but that it would only take 30 minutes maximum to check-in my baggage and get my boarding pass.  The line to check-in extended all the way from the counter to the entrance doorss. Due to the slow process of check-in, I had only an hour left before my flight was set to depart and I had to summon a member of the AirAsia staff to expedite my check-in. When I got to the counter after bypassing the line, I was informed by the agent that my flight had been delayed and that I would have to pay a fee because my luggage was more than the 15kg allowance I had paid for.  I was informed that they were charging me 2,799.98 THB (90.58 USD) in addition to the 385.20 THB (12.24 USD) I paid for my 15kg baggage allowance.  In total, my baggage fees amounted to 3,185.18 THB (101.29 USD). Once I paid the fee for my baggage, I proceeded through security to find out our flight was delayed.  After we boarded the plane, I saw that there were a couple emergency exit row seats available and asked one of the flight attendants if I could have that seat. They denied me the upgrade and said I had to pay for that seat.",said i had to pay for that seat the low fare they give is not worth the hassle of waiting in long check in lines departure delays and poor customer service ihad arrived at the airport two hours early anticipating that there would be a decent sized line but that it would only take minutes maximum to check in my baggage and get my boarding pass the line to check in extended all the way from the counter to the entrance doorss due to the slow process of check in i had only an hour left before my flight was set to depart and i had to summon a member of the airasia staff to expedite my check in when i got to the counter after bypassing the line i was informed by the agent that my flight had been delayed and that i would have to pay a fee because my luggage was more than the kg allowance i had paid for i was informed that they were charging me thb usd in addition to the thb usd i paid for my kg baggage allowance in total my baggage fees amounted to thb usd once i paid the fee for my baggage i proceeded through security to find out our flight was delayed after we boarded the plane i saw that there were a couple emergency exit row seats available and asked one of the flight attendants if i could have that seat they denied me the upgrade and said i had to pay for that seat,pay seat low fare give worth hassle waiting long check lines departure delays poor customer service ihad arrived airport two hours early anticipating decent sized line take minutes maximum check baggage boarding pass line check extended way counter entrance doorss due slow process check hour left set depart summon member staff expedite check counter bypassing line informed agent delayed pay fee luggage allowance paid informed charging thb usd addition thb usd paid baggage allowance total baggage fees amounted thb usd paid fee baggage proceeded security find delayed boarded plane saw couple emergency exit row seats available asked attendants seat denied upgrade pay seat,Solo Leisure,Economy Class,Krabi to Bangkok,no,1.0,1.0,,1.0,1
1,Negative,I had a great experience,"I had a great experience on AirAsia flight AK700 from Singapore to Kuala Lumpur. Even though it was a short flight, the service from the cabin crew made the journey very pleasant. All the cabin crew were professional, attentive, and welcoming throughout the flight. A special thanks to Cabin Crew Faizal, who was exceptionally friendly and provided excellent service. His warm attitude and helpfulness really stood out and made the flight even more enjoyable. Overall, it was a smooth and comfortable flight. Thank you to the whole crew for making the trip enjoyable despite the short travel time. Great service and a wonderful experience!","I had a great experience I had a great experience on AirAsia flight AK700 from Singapore to Kuala Lumpur. Even though it was a short flight, the service from the cabin crew made the journey very pleasant. All the cabin crew were professional, attentive, and welcoming throughout the flight. A special thanks to Cabin Crew Faizal, who was exceptionally friendly and provided excellent service. His warm attitude and helpfulness really stood out and made the flight even more enjoyable. Overall, it was a smooth and comfortable flight. Thank you to the whole crew for making the trip enjoyable despite the short travel time. Great service and a wonderful experience!",i had a great experience i had a great experience on airasia flight ak from singapore to kuala lumpur even though it was a short flight the service from the cabin crew made the journey very pleasant all the cabin crew were professional attentive and welcoming throughout the flight a special thanks to cabin crew faizal who was exceptionally friendly and provided excellent service his warm attitude and helpfulness really stood out and made the flight even more enjoyable overall it was a smooth and comfortable flight thank you to the whole crew for making the trip enjoyable despite the short travel time great service and a wonderful experience,great experience great experience singapore kuala lumpur though short service cabin crew made journey pleasant cabin crew professional attentive welcoming throughout special thanks cabin crew faizal exceptionally friendly provided excellent service warm attitude helpfulness stood made enjoyable overall smooth comfortable thank whole crew making trip enjoyable despite short travel time great service wonderful experience,Business,Economy Class,Singapore to Kuala lumpur,yes,5.0,5.0,5.0,5.0,5
1,Negative,cancelled the pre ordered hot seats,The airline cancelled the pre ordered hot seats BKI-KUL and on the return all hot seats were withdrawn due to fleet changes and aircraft deployment. The airline does not refund or credit the fares difference for such incidence.,cancelled the pre ordered hot seats The airline cancelled the pre ordered hot seats BKI-KUL and on the return all hot seats were withdrawn due to fleet changes and aircraft deployment. The airline does not refund or credit the fares difference for such incidence.,cancelled the pre ordered hot seats the airline cancelled the pre ordered hot seats bki kul and on the return all hot seats were withdrawn due to fleet changes and aircraft deployment the airline does not refund or credit the fares difference for such incidence,cancelled pre ordered hot seats cancelled pre ordered hot seats bki kul return hot seats withdrawn due fleet changes aircraft deployment refund credit fares difference incidence,Solo Leisure,Economy Class,Kota Kinabalu to Kuala Lumpur,no,1.0,,,1.0,1
